Tank,Temp,Date
AQUA_225_TEMPERATURE_2,29.5,2019-01-25 15:09:15
AQUA_225_TEMPERATURE_2,29.6,2019-01-25 17:14:33
AQUA_225_TEMPERATURE_2,29.8,2019-01-25 17:56:04
AQUA_225_TEMPERATURE_2,29.6,2019-01-25 19:18:49
AQUA_225_TEMPERATURE_2,29.8,2019-01-25 20:42:25
AQUA_225_TEMPERATURE_2,29.6,2019-01-25 21:24:59
AQUA_225_TEMPERATURE_2,29,2019-01-25 22:06:41
AQUA_225_TEMPERATURE_2,29.2,2019-01-25 22:48:18
AQUA_225_TEMPERATURE_2,29.1,2019-01-25 23:30:11
AQUA_225_TEMPERATURE_2,29,2019-01-26 00:11:48
AQUA_225_TEMPERATURE_2,29.1,2019-01-26 00:53:25
AQUA_225_TEMPERATURE_2,29,2019-01-26 01:35:01
AQUA_225_TEMPERATURE_2,28.9,2019-01-26 02:16:32
AQUA_225_TEMPERATURE_2,28.8,2019-01-26 02:58:09
AQUA_225_TEMPERATURE_2,28.6,2019-01-26 03:39:46
AQUA_225_TEMPERATURE_2,28.7,2019-01-26 04:21:17
AQUA_225_TEMPERATURE_2,28.8,2019-01-26 05:02:53
AQUA_225_TEMPERATURE_2,29.1,2019-01-26 05:44:36
AQUA_225_TEMPERATURE_2,29.2,2019-01-26 06:26:01
AQUA_225_TEMPERATURE_2,29,2019-01-26 07:07:26
AQUA_225_TEMPERATURE_2,29.2,2019-01-26 09:28:23
AQUA_225_TEMPERATURE_2,29.3,2019-01-26 10:08:29
AQUA_225_TEMPERATURE_2,29.2,2019-01-26 10:48:34
AQUA_225_TEMPERATURE_2,29.4,2019-01-26 11:29:54
AQUA_225_TEMPERATURE_2,29.7,2019-01-26 12:11:25
AQUA_225_TEMPERATURE_2,29.9,2019-01-26 12:52:44
AQUA_225_TEMPERATURE_2,30.2,2019-01-26 13:33:58
AQUA_225_TEMPERATURE_2,30.5,2019-01-26 14:15:18
AQUA_225_TEMPERATURE_2,30.4,2019-01-26 23:25:59
AQUA_225_TEMPERATURE_2,29.8,2019-01-27 00:53:51
AQUA_225_TEMPERATURE_2,29.4,2019-01-27 01:30:15
AQUA_225_TEMPERATURE_2,28.9,2019-01-27 02:07:59
AQUA_225_TEMPERATURE_2,29,2019-01-27 03:22:12
AQUA_225_TEMPERATURE_2,28.7,2019-01-27 04:00:01
AQUA_225_TEMPERATURE_2,28.8,2019-01-27 05:11:46
AQUA_225_TEMPERATURE_2,28.7,2019-01-27 05:48:27
AQUA_225_TEMPERATURE_2,28.8,2019-01-27 06:25:02
AQUA_225_TEMPERATURE_2,28.7,2019-01-27 07:01:43
AQUA_225_TEMPERATURE_2,28.6,2019-01-27 07:39:44
AQUA_225_TEMPERATURE_2,28.5,2019-01-27 08:17:44
AQUA_225_TEMPERATURE_2,28.9,2019-01-27 08:55:45
AQUA_225_TEMPERATURE_2,28.7,2019-01-27 09:33:40
AQUA_225_TEMPERATURE_2,28.9,2019-01-27 09:48:32
AQUA_225_TEMPERATURE_2,28.7,2019-01-27 10:25:08
